0,abnormal,able
1,abolish,abundance
2,abominable,accelerate
3,abominably,accept
4,abominate,acclaim
5,abomination,accolade
6,abort,accomplish
7,aborted,accord
8,aborts,accredit
9,abrade,accrue
10,abrasive,ace
11,abrupt,achieve
12,abruptly,action
13,abscond,activate
14,absence,active
15,absent-minded,add
16,absentee,addition
17,absurd,adept
18,absurdity,admirable
19,absurdly,adorable
20,absurdness,advance
21,abuse,advantage
22,abused,adventure
23,abuses,affable
24,abusive,affirm
25,abysmal,ageless
26,abysmally,agree
27,abyss,agreeable
28,accidental,aid
29,accost,aim
30,accursed,alacrity
31,accusation,alert
32,accusations,alight
33,accuse,alive
34,accuses,all
35,accusing,altruistic
36,accusingly,always
37,acerbate,amaze
38,acerbic,amazement
39,acerbically,amazing
40,ache,ambition
41,ached,amiable
42,aches,amity
43,aching,amuse
44,acrid,anew
45,acridly,angel
46,acridness,appealing
47,acrimonious,applaud
48,acrimoniously,appreciate
49,acrimony,approve
50,adamant,arouse
51,adamantly,art
52,addict,as
53,addicted,ascend
54,addicting,aspire
55,addicts,assent
56,admonish,assert
57,admonisher,assist
58,admonishingly,associate
59,admonishment,assure
60,admonition,astir
61,adulterate,astonish
62,adulterated,attain
63,adulteration,attempt
64,adversarial,attention
65,adversary,attentive
66,adverse,attest
67,adversity,attraction
68,afflict,attribute
69,affliction,attune
70,afflictive,augment
71,affront,auspicious
72,afraid,authentic
73,aggravate,available
74,aggravating,avid
75,aggravation,awake
76,aggression,award
77,aggressive,aware
78,aggressiveness,awash
79,aggressor,awesome
80,aggrieve,aye
81,aggrieved,back
82,aghast,balance
83,agonies,balanced
84,agonize,beatific
85,agonizing,beatify
86,agonizingly,beatitude
87,agony,beau
88,aground,beauteous
89,ail,beautiful
90,ailing,beautify
91,ailment,beauty
92,aimless,become
93,alarm,befriend
94,alarmed,begin
95,alarming,beginning
96,alarmingly,being
97,alienate,belief
98,alienated,believe
99,alienation,beloved
100,allegation,benedictory
101,allegations,benefaction
102,allege,beneficial
103,allergic,benefit
104,allergies,benevolent
105,allergy,best
106,aloof,bestow
107,altercation,bet
108,ambiguity,better
109,ambiguous,betterment
110,ambivalence,beyond
111,ambivalent,big
112,ambush,big-hearted
113,amiss,bijou
114,amputate,bird
115,anarchism,blasting
